date,month,symbol,calendar_index,holiday_tag,is_trading_day,close,execution_price,action,buy_units,sell_units,open_units,position_state,reason_tag,state_tag,source,source_sheet,source_row,trade_marker_readable,confidence,note
1975-01-01,1975-01,PIONEER,1,,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,3,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-01-17,1975-01,PIONEER,17,,1,794,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,19,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-01-18,1975-01,PIONEER,18,假,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,20,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-01-19,1975-01,PIONEER,19,日,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,21,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-01-20,1975-01,PIONEER,20,,1,776,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,22,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-01-21,1975-01,PIONEER,21,,1,763,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,23,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-01-22,1975-01,PIONEER,22,,1,755,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,24,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-01-23,1975-01,PIONEER,23,,1,745,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,25,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-01-24,1975-01,PIONEER,24,,1,736,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,26,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-01-25,1975-01,PIONEER,25,,1,745,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,27,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-01-26,1975-01,PIONEER,26,日,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,28,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-01-27,1975-01,PIONEER,27,,1,744,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,29,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-01-28,1975-01,PIONEER,28,,1,760,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,30,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-01-29,1975-01,PIONEER,29,,1,778,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,31,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-01-30,1975-01,PIONEER,30,,1,790,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,32,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-01-31,1975-01,PIONEER,31,,1,780,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,33,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-02-01,1975-02,PIONEER,32,,1,765,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,36,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-02-02,1975-02,PIONEER,33,日,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,37,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-02-03,1975-02,PIONEER,34,,1,795,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,38,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-02-04,1975-02,PIONEER,35,,1,820,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,39,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-02-05,1975-02,PIONEER,36,,1,856,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,40,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-02-06,1975-02,PIONEER,37,,1,855,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,41,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-02-07,1975-02,PIONEER,38,,1,870,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,42,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-02-08,1975-02,PIONEER,39,,1,884,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,43,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-02-09,1975-02,PIONEER,40,日,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,44,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-02-10,1975-02,PIONEER,41,,1,900,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,45,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-02-11,1975-02,PIONEER,42,假,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,46,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-02-12,1975-02,PIONEER,43,,1,895,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,47,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-02-13,1975-02,PIONEER,44,,1,924,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,48,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-02-14,1975-02,PIONEER,45,,1,905,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,49,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-02-15,1975-02,PIONEER,46,假,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,50,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-02-16,1975-02,PIONEER,47,日,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,51,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-02-17,1975-02,PIONEER,48,,1,920,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,52,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-02-18,1975-02,PIONEER,49,,1,880,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,53,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-02-19,1975-02,PIONEER,50,,1,889,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,54,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-02-20,1975-02,PIONEER,51,,1,890,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,55,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-02-21,1975-02,PIONEER,52,,1,903,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,56,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-02-22,1975-02,PIONEER,53,,1,910,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,57,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-02-23,1975-02,PIONEER,54,日,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,58,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-02-24,1975-02,PIONEER,55,,1,933,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,59,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-02-25,1975-02,PIONEER,56,,1,925,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,60,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-02-26,1975-02,PIONEER,57,,1,918,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,61,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-02-27,1975-02,PIONEER,58,,1,905,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,62,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-02-28,1975-02,PIONEER,59,,1,895,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,63,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-03-01,1975-03,PIONEER,60,,1,901,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,66,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-03-02,1975-03,PIONEER,61,日,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,67,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-03-03,1975-03,PIONEER,62,,1,895,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,68,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-03-04,1975-03,PIONEER,63,,1,891,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,69,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-03-05,1975-03,PIONEER,64,,1,881,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,70,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-03-06,1975-03,PIONEER,65,,1,910,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,71,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-03-07,1975-03,PIONEER,66,,1,921,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,72,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-03-08,1975-03,PIONEER,67,,1,990,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,73,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-03-09,1975-03,PIONEER,68,日,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,74,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-03-10,1975-03,PIONEER,69,,1,1090,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,75,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-03-11,1975-03,PIONEER,70,,1,1130,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,76,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-03-12,1975-03,PIONEER,71,,1,1290,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,77,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-03-13,1975-03,PIONEER,72,,1,1200,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,78,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-03-14,1975-03,PIONEER,73,,1,1180,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,79,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-03-15,1975-03,PIONEER,74,假,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,80,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-03-16,1975-03,PIONEER,75,日,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,81,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-03-17,1975-03,PIONEER,76,,1,1380,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,82,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-03-18,1975-03,PIONEER,77,,1,1240,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,83,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-03-19,1975-03,PIONEER,78,,1,1230,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,84,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-03-20,1975-03,PIONEER,79,,1,1200,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,85,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-03-21,1975-03,PIONEER,80,假,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,86,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-03-22,1975-03,PIONEER,81,,1,1250,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,87,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-03-23,1975-03,PIONEER,82,日,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,88,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-03-24,1975-03,PIONEER,83,,1,1200,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,89,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-03-25,1975-03,PIONEER,84,,1,1260,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,90,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-03-26,1975-03,PIONEER,85,,1,1210,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,91,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-03-27,1975-03,PIONEER,86,,1,1260,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,92,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-03-28,1975-03,PIONEER,87,,1,1260,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,93,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-03-29,1975-03,PIONEER,88,,1,1250,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,94,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-03-30,1975-03,PIONEER,89,日,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,95,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-03-31,1975-03,PIONEER,90,,1,1300,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,96,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-04-01,1975-04,PIONEER,91,,1,1260,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,99,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-04-02,1975-04,PIONEER,92,,1,1270,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,100,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-04-03,1975-04,PIONEER,93,,1,1250,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,101,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-04-04,1975-04,PIONEER,94,,1,1210,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,102,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-04-05,1975-04,PIONEER,95,,1,1200,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,103,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-04-06,1975-04,PIONEER,96,日,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,104,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-04-07,1975-04,PIONEER,97,,1,1200,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,105,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-04-08,1975-04,PIONEER,98,,1,1210,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,106,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-04-09,1975-04,PIONEER,99,,1,1200,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,107,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-04-10,1975-04,PIONEER,100,,1,1200,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,108,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-04-11,1975-04,PIONEER,101,,1,1200,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,109,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-04-12,1975-04,PIONEER,102,,1,1240,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,110,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-04-13,1975-04,PIONEER,103,日,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,111,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-04-14,1975-04,PIONEER,104,,1,1220,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,112,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-04-15,1975-04,PIONEER,105,,1,1220,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,113,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-04-16,1975-04,PIONEER,106,,1,1190,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,114,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-04-17,1975-04,PIONEER,107,,1,1200,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,115,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-04-18,1975-04,PIONEER,108,,1,1200,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,116,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-04-19,1975-04,PIONEER,109,假,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,117,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-04-20,1975-04,PIONEER,110,日,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,118,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-04-21,1975-04,PIONEER,111,,1,1250,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,119,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-04-22,1975-04,PIONEER,112,,1,1210,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,120,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-04-23,1975-04,PIONEER,113,,1,1220,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,121,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-04-24,1975-04,PIONEER,114,,1,1210,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,122,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-04-25,1975-04,PIONEER,115,,1,1240,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,123,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-04-26,1975-04,PIONEER,116,,1,1290,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,124,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-04-27,1975-04,PIONEER,117,日,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,125,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-04-28,1975-04,PIONEER,118,,1,1320,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,126,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-04-29,1975-04,PIONEER,119,假,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,127,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-04-30,1975-04,PIONEER,120,,1,1320,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,128,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-05-01,1975-05,PIONEER,121,,1,1300,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,131,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-05-02,1975-05,PIONEER,122,,1,1320,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,132,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-05-03,1975-05,PIONEER,123,假,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,133,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-05-04,1975-05,PIONEER,124,日,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,134,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-05-05,1975-05,PIONEER,125,假,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,135,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-05-06,1975-05,PIONEER,126,,1,1320,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,136,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-05-07,1975-05,PIONEER,127,,1,1290,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,137,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-05-08,1975-05,PIONEER,128,,1,1330,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,138,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-05-09,1975-05,PIONEER,129,,1,1300,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,139,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-05-10,1975-05,PIONEER,130,,1,1300,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,140,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-05-11,1975-05,PIONEER,131,日,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,141,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-05-12,1975-05,PIONEER,132,,1,1320,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,142,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-05-13,1975-05,PIONEER,133,,1,1320,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,143,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-05-14,1975-05,PIONEER,134,,1,1390,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,144,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-05-15,1975-05,PIONEER,135,,1,1440,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,145,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-05-16,1975-05,PIONEER,136,,1,1430,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,146,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-05-17,1975-05,PIONEER,137,假,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,147,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-05-18,1975-05,PIONEER,138,日,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,148,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-05-19,1975-05,PIONEER,139,,1,1420,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,149,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-05-20,1975-05,PIONEER,140,,1,1370,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,150,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-05-21,1975-05,PIONEER,141,,1,1340,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,151,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
